Stations_id;Januar;Februar;März;April;Mai;Juni;Juli;August;September;Oktober;November;Dezember;Jahr
32;68,5;44,9;63,6;54,4;63,8;71,1;64,5;63,3;56,3;56,4;60,3;79;1902
33;36,9;30,4;41;38,6;52,8;66,3;51,6;55,9;41,6;37,4;37;48,5;1914
34;58,2;54;61,8;55,8;79,5;91,9;78,9;62,1;60,2;69,5;66,5;68,4;1922
35;50,1;42,3;50,6;49,5;61,3;80,9;77,3;74,9;55,9;49,7;54,4;60,4;1919
36;100,1;66,3;90,3;64,9;75;93,7;90,3;88,2;83,2;77,2;90,9;113,2;1928
37;38,4;39,4;41,6;57,3;81,2;102,4;10,7;87,5;67,9;55,5;57,7;49;1921
13;43,7;36,3;48,3;43,1;54,7;62,4;0;53,2;41,9;39,8;0;51,5;1915
38;81,3;52,9;71,9;52,2;62,7;81,9;72;65,5;78,2;67;77,5;86,9;1923
39;66,1;46,1;59,3;45,3;56,2;73,9;71,1;66,8;63,5;60,5;63,8;73,5;1920
40;42,2;31,3;43,2;38,7;47,3;65,8;65,1;57,5;50,9;39,5;47,2;54,9;1915
41;59,2;41,4;52,5;41,3;52,9;70,3;64,4;67,6;54,7;51,6;55;64,1;1918
42;63,5;44,1;62,5;45,4;60,7;70;69;60,6;68,4;56,5;63,1;71,5;1920
43;67,2;46;60,4;44,3;56,1;78,5;75,3;70;82,6;75,2;84,5;76;1902
44;65;42,8;61;46,5;54,2;76,2;73,2;67,3;66,9;62,3;65,8;72,8;1920
45;52,8;41,4;49,7;46,9;63,4;73,4;60,5;54,2;54,5;53,3;57,8;62,1;1918
46;54;45,5;47,6;42,9;62,5;83,5;94,7;72,4;62,7;57,9;61,7;64,6;1902
47;59,9;47,9;56,6;48,8;61,6;76,9;73,3;56,1;53,5;68,2;63,3;77,5;1920
48;60,6;43,1;55,2;48,1;55,1;82,6;79,6;57,1;60,7;57,8;57,1;70,2;1919
50;116,5;79,8;109,1;80,3;84,2;105,9;103,2;94,3;92,7;96,6;112,2;137,4;1933
51;67,3;44,1;56,7;44,9;47,4;67,3;76,9;67,4;65,2;62,2;68,7;73,1;1920
1;46;46,3;42,1;54;77,9;10,3;93,2;83,9;59;59;62;57,3;1900
52;72,1;46,3;65,7;49;54,8;75,7;72,4;78,7;70,3;69,7;72,3;85,2;1902
53;43,1;35,2;41,7;38,1;53,8;65,5;54,4;60,7;46,7;36,6;45,5;57,2;1915
54;70,4;40,6;53,5;43,6;49,2;72;71,3;66,7;83,3;90,2;89,4;80,7;1902
148;66,2;47,3;60,8;46,6;53,7;81,3;78,5;71,1;71,9;72,9;73,9;82,4;1922
55;52,9;50,5;64,1;76,9;10,3;145,2;139,6;134,1;92,3;66,1;78,7;65,2;1929
56;64,7;50,9;60,4;67;87,6;112,9;107,2;107,5;66,3;62,2;70,5;68,8;1902
57;47,1;44,9;49;60,5;83,4;10,2;106,4;86,4;69,7;61,7;63,6;58,5;1922
58;62,3;60,3;66,6;81,4;97,7;128,3;129,1;109,8;87,4;74,7;85,5;78,4;1929
59;48,8;45,5;51,9;54;70,2;98,3;93,5;83;68,1;59,9;64,2;60,4;1921
60;48,2;49,7;48,5;60;78,7;95;100,5;83,7;70,9;64,7;63,9;61,8;1922
61;52,5;43,9;49,3;43,9;68;88,3;89,4;78,8;62,8;54,7;59,9;63,7;1920
62;167,5;14,2;141,6;14;150,4;158,4;145,2;114,3;121,1;149,8;17,2;199,5;1949
63;82,9;78,7;88;96,2;10,5;153,4;142,8;138,1;102,7;81;10,5;100,5;1934
64;32,2;28;37,8;34,8;49,4;59,7;51,7;57;42,4;35,6;36,5;44,8;1913
65;64,5;58;71,1;78,5;96,6;123,9;134,7;112,1;90,1;68,1;84,3;75,9;1928
66;74,4;47,9;64,7;49,1;54,2;84,9;86,4;75,6;94,7;92,2;93,9;91,6;1924
67;56,8;44,7;55,8;41,4;60,1;86,1;85,3;65,2;66,5;60,8;55,6;71,2;1920
68;35,4;30,2;39;49,6;47,5;67;61,8;60,5;44,1;40,2;44,9;47,8;1901
69;61,9;62,8;68,2;85,8;107,8;122,3;108,7;87,5;70,2;78,3;77,5;78,1;1927
70;57,1;57,1;57,8;71,2;91,7;110,8;100,9;81,7;62,9;66,9;70;72,9;1924
71;60,4;58;68,1;77,7;98,5;111,4;107,6;76,9;64,1;80,2;72,2;78,5;1926
72;62,6;68,9;77,3;93;107,3;131,4;104,5;94,6;72,5;79,7;82,1;80,6;1928
73;54,2;45,7;54;51;72,9;92,6;105,6;81,3;61,9;53,1;62,2;64,4;1921
74;44,8;39,6;45,5;48,2;69,5;78,8;80,4;62;55,2;53,1;51,5;54,7;1918
75;83,1;70,1;79,2;71,9;87;109,8;99,2;83,8;75,9;83,3;91,3;97,7;1928
76;78,3;68,7;78,5;70,1;90,5;110,9;99,9;80,5;75,2;82;87,6;93,6;1927
77;65,6;47,5;61;51;62,2;70,8;69,3;64,6;55,8;57,1;59,5;74,7;1920
78;73,3;49,9;66,5;49,8;54,8;78,5;68;66,5;68,2;69,2;68,7;80,7;1921
79;41,7;37,2;50,9;45,4;61,2;69,9;65,4;54,4;59,3;48,2;51,4;52,3;1917
80;44,1;36,8;48,3;49,3;61,2;70,3;68,1;53,1;53,1;51,6;54,5;53,6;1917
81;94,4;58,3;72,6;50,8;63,4;74,1;63,8;62,8;64;74,1;83,6;104,3;1923
82;64,9;45,3;58,1;43,4;58,9;73;67;66,7;60,3;59,8;61,2;74,7;1920
83;45,4;34,4;46,9;40,7;49,6;63,7;51,9;53,4;40,1;40,7;44;57,2;1915
84;49,6;43,9;52,2;52,1;69,1;88,7;88,9;75,9;62,2;57,9;58;65,3;1920
85;60,8;51,3;62,5;51,4;62,9;69;57,4;58,7;48,1;51;61,8;70,9;1919
86;29,2;26,9;36,8;34,5;57,5;59,7;57,4;47,5;38,8;35,2;34,5;38,5;1913
87;23,9;21,9;28,8;34,8;51,8;59,6;55,4;50,6;34,9;32,4;32,1;30,9;1912
88;123,6;10,9;106,9;90,8;106,6;113,1;107,5;90,5;81,9;10,4;12,5;137,9;1935
89;39,7;35,7;40,7;37,5;57,1;61,9;62,7;50,4;46,2;51,8;49,9;50,9;1916
91;48,8;38;48,5;47,2;63,9;66,9;64,9;53,9;54,7;57;55,9;58,3;1901
92;50,1;43,7;51,5;50,9;70;71,4;62,6;53,9;55,4;58,1;56;60;1918
93;47,2;36,3;47,9;44,9;58,8;66,5;57,4;52,5;49,5;51,7;50,8;56,3;1916
94;52,3;37,2;45,3;43,2;48,9;63,4;64,3;62;45,9;45,5;51,3;63,8;1917
95;37;33,1;38,1;36,7;53,4;60;58,7;54,6;42,8;35,3;42,5;52,8;1915
96;49,7;34,8;40,6;38,2;52,7;65,5;55,7;54,7;43,2;41,3;45,5;59,1;1915
97;33,7;28,7;37,1;36,1;55;64,8;57,6;56,7;41,3;36,3;38,2;43,8;1914
98;126,7;83,3;106,2;81,5;79;102,4;97;83,8;98,7;101,2;116,5;135,6;1933
99;42,3;35,6;46,5;40,7;50,3;64,6;51,6;57,1;43,1;42,2;43,3;54,9;1915
100;38,7;30;38,1;40,6;52,1;61,9;54,5;57,5;42,6;34,9;41,9;50,2;1914
101;68,2;54,4;62;57,4;71,6;92,2;92,9;72;65,7;66;67,2;78,9;1923
103;46,7;39,3;44,5;41,8;62,2;82;91,2;74,9;55,4;50,7;52,8;56,2;1919
104;120,5;84,2;106,4;71,7;79,7;98,7;93,5;78,2;91,3;97,3;106,7;124,9;1931
105;49,3;41,4;50,8;49,7;67,5;65,5;68,6;56,6;56,6;50,2;55,3;55,1;1901
107;140,1;91,4;125,8;89,5;90,7;113,3;114,9;100,4;102,7;109,4;131,3;164,5;1937
108;120,8;85,3;118,1;84,7;87,1;106,3;102,2;94,9;92,8;104,1;116,8;140,9;1903
109;155,5;106,8;142,1;98,3;93,6;121,4;120,4;107,8;112,8;125,9;143,2;178,2;1904
110;72,5;47,9;65;46,6;58,1;77,5;66,2;60,1;71;61,5;70,6;79,5;1921
111;61,4;47,4;64,3;51,3;63;66,8;51,6;60,3;45,7;51;59,5;68,7;1901
112;59,2;43,6;62,2;52,2;66,8;66,6;54,2;66,4;46,8;53,8;62,2;66,3;1901
113;59,1;46;62,3;51,8;62,7;65,5;51,3;60,5;46,1;50,6;56,9;66;1918
84;49,6;0;52,2;52,1;0;88,7;88,9;75,9;62,2;57,9;58;65,3;1920
115;55,5;42,2;59,3;51,4;63;63,9;50,5;63,1;44,6;51,9;57,4;63;1918
116;33,8;33,1;42,7;48,1;54,7;70,9;68,8;65,8;49,1;40,2;45,7;43,7;1916
117;86,1;65,1;7,87;63,2;62,6;85,2;88,1;66,4;73,3;75,5;88,1;110,2;1925
